,f1-score,precision,recall,support
cmml,0.9295774647887324,0.9269662921348315,0.9322033898305084,531.0
et,0.9578947368421054,0.9191919191919192,1.0,91.0
mds,0.97264218862491,0.9740447007930786,0.9712437095614666,1391.0
pmf,0.9809523809523809,1.0,0.9626168224299065,107.0
pv,0.9813664596273292,1.0,0.9634146341463414,82.0
accuracy,0.9623069936421436,0.9623069936421436,0.9623069936421436,0.9623069936421436
macro avg,0.9644866461670916,0.964040582423966,0.9658957111936445,2202.0
weighted avg,0.9623766093024725,0.9626529266908411,0.9623069936421436,2202.0
Score for fold 0,0.96875
Score for fold 1,0.9411764705882353
Score for fold 2,0.9590909090909091
Score for fold 3,0.9727272727272728
Score for fold 4,0.9681818181818181
Score for fold 5,0.9818181818181818
Score for fold 6,0.9636363636363636
Score for fold 7,0.954337899543379
Score for fold 8,0.9497716894977168
Score for fold 9,0.9634703196347032
Mean accuracy with standard deviation,0.962,+/-,0.011
