,0_ccus_fpr,0_ccus_tpr,0_ccus_auc,0_icus_fpr,0_icus_tpr,0_icus_auc,0_mds_fpr,0_mds_tpr,0_mds_auc,1_ccus_fpr,1_ccus_tpr,1_ccus_auc,1_icus_fpr,1_icus_tpr,1_icus_auc,1_mds_fpr,1_mds_tpr,1_mds_auc,2_ccus_fpr,2_ccus_tpr,2_ccus_auc,2_icus_fpr,2_icus_tpr,2_icus_auc,2_mds_fpr,2_mds_tpr,2_mds_auc,3_ccus_fpr,3_ccus_tpr,3_ccus_auc,3_icus_fpr,3_icus_tpr,3_icus_auc,3_mds_fpr,3_mds_tpr,3_mds_auc,4_ccus_fpr,4_ccus_tpr,4_ccus_auc,4_icus_fpr,4_icus_tpr,4_icus_auc,4_mds_fpr,4_mds_tpr,4_mds_auc,5_ccus_fpr,5_ccus_tpr,5_ccus_auc,5_icus_fpr,5_icus_tpr,5_icus_auc,5_mds_fpr,5_mds_tpr,5_mds_auc,6_ccus_fpr,6_ccus_tpr,6_ccus_auc,6_icus_fpr,6_icus_tpr,6_icus_auc,6_mds_fpr,6_mds_tpr,6_mds_auc,7_ccus_fpr,7_ccus_tpr,7_ccus_auc,7_icus_fpr,7_icus_tpr,7_icus_auc,7_mds_fpr,7_mds_tpr,7_mds_auc,8_ccus_fpr,8_ccus_tpr,8_ccus_auc,8_icus_fpr,8_icus_tpr,8_icus_auc,8_mds_fpr,8_mds_tpr,8_mds_auc,9_ccus_fpr,9_ccus_tpr,9_ccus_auc,9_icus_fpr,9_icus_tpr,9_icus_auc,9_mds_fpr,9_mds_tpr,9_mds_auc
0,0.0,0.0,0.8789846517119245,0.0,0.0,0.9767299448867115,0.0,0.0,0.9202963628199372,0.0,0.0,0.987603305785124,0.0,0.0,0.9908144519289651,0.0,0.0,0.9782218230803772,0.0,0.0,0.9817001180637543,0.0,0.0,0.9941824862216779,0.0,0.0,0.9824876515491692,0.0,0.0,0.994058229352347,0.0,0.0,0.9955185659411012,0.0,0.0,0.9902845246356697,0.0,0.0,1.0,0.0,0.0,0.9964788732394366,0.0,0.0,0.9944482997918113,0.0,0.0,0.9679144385026738,0.0,0.0,1.0,0.0,0.0,0.9842701827434652,0.0,0.0,0.993421052631579,0.0,0.0,0.9896840747904578,0.0,0.0,0.9794871794871794,0.0,0.0,0.9960526315789474,0.0,0.0,0.9840909090909091,0.0,0.0,0.9776442307692308,0.0,0.0,0.9894736842105264,0.0,0.0,0.9905844155844157,0.0,0.0,0.9817307692307693,0.0,0.0,1.0,0.0,0.0,0.9980519480519481,0.0,0.0,0.9961538461538462
1,0.006493506493506494,0.0,,0.0,0.043478260869565216,,0.0,0.007633587786259542,,0.0,0.09090909090909091,,0.0,0.043478260869565216,,0.0,0.007633587786259542,,0.0,0.09090909090909091,,0.0,0.043478260869565216,,0.0,0.007633587786259542,,0.0,0.09090909090909091,,0.0,0.045454545454545456,,0.0,0.007633587786259542,,0.0,0.09090909090909091,,0.0,0.045454545454545456,,0.0,0.007633587786259542,,0.0,0.09090909090909091,,0.0,0.045454545454545456,,0.0,0.007633587786259542,,0.0,0.09090909090909091,,0.0,0.045454545454545456,,0.0,0.007692307692307693,,0.0,0.1,,0.0,0.045454545454545456,,0.0,0.007692307692307693,,0.0,0.1,,0.0,0.045454545454545456,,0.0,0.007692307692307693,,0.0,0.1,,0.0,0.045454545454545456,,0.0,0.007692307692307693,
2,0.006493506493506494,0.18181818181818182,,0.0,0.30434782608695654,,0.0,0.6946564885496184,,0.0,0.7272727272727273,,0.0,0.391304347826087,,0.0,0.8244274809160306,,0.0,0.8181818181818182,,0.0,0.7391304347826086,,0.0,0.7480916030534351,,0.0,0.9090909090909091,,0.0,0.7727272727272727,,0.0,0.8473282442748091,,0.0,1.0,,0.0,0.7272727272727273,,0.0,0.9465648854961832,,0.0,0.8181818181818182,,0.0,1.0,,0.0,0.6412213740458015,,0.0,0.7272727272727273,,0.0,0.45454545454545453,,0.0,0.8384615384615385,,0.0,0.7,,0.0,0.7272727272727273,,0.0,0.8,,0.0,0.8,,0.0,0.9090909090909091,,0.0,0.7692307692307693,,0.0,1.0,,0.0,0.9545454545454546,,0.0,0.8923076923076924,
3,0.01948051948051948,0.18181818181818182,,0.007042253521126761,0.30434782608695654,,0.029411764705882353,0.6946564885496184,,0.025974025974025976,0.7272727272727273,,0.007042253521126761,0.391304347826087,,0.029411764705882353,0.8244274809160306,,0.045454545454545456,0.8181818181818182,,0.007042253521126761,0.7391304347826086,,0.029411764705882353,0.7480916030534351,,0.06535947712418301,0.9090909090909091,,0.007042253521126761,0.7727272727272727,,0.030303030303030304,0.8473282442748091,,1.0,1.0,,0.007042253521126761,0.7272727272727273,,0.030303030303030304,0.9465648854961832,,0.0784313725490196,0.8181818181818182,,1.0,1.0,,0.030303030303030304,0.6412213740458015,,0.006578947368421052,0.7272727272727273,,0.0070921985815602835,0.45454545454545453,,0.030303030303030304,0.8384615384615385,,0.006578947368421052,0.7,,0.007142857142857143,0.7272727272727273,,0.03125,0.8,,0.013157894736842105,0.8,,0.06428571428571428,0.9090909090909091,,0.03125,0.7692307692307693,,1.0,1.0,,0.04285714285714286,0.9545454545454546,,0.03125,0.8923076923076924,
4,0.01948051948051948,0.2727272727272727,,0.007042253521126761,0.391304347826087,,0.029411764705882353,0.7709923664122137,,0.025974025974025976,0.8181818181818182,,0.007042253521126761,0.9130434782608695,,0.029411764705882353,0.8473282442748091,,0.045454545454545456,0.9090909090909091,,0.007042253521126761,0.8260869565217391,,0.029411764705882353,0.8702290076335878,,0.06535947712418301,1.0,,0.007042253521126761,0.8181818181818182,,0.030303030303030304,0.9541984732824428,,,,,0.007042253521126761,0.8181818181818182,,0.030303030303030304,0.9618320610687023,,0.0784313725490196,0.9090909090909091,,,,,0.030303030303030304,0.8396946564885496,,0.006578947368421052,0.8181818181818182,,0.0070921985815602835,0.8181818181818182,,0.030303030303030304,0.9,,0.006578947368421052,0.8,,0.007142857142857143,0.7727272727272727,,0.03125,0.8461538461538461,,0.013157894736842105,0.9,,0.06428571428571428,0.9545454545454546,,0.03125,0.7846153846153846,,,,,0.04285714285714286,1.0,,0.03125,0.9846153846153847,
5,0.045454545454545456,0.2727272727272727,,0.028169014084507043,0.391304347826087,,0.058823529411764705,0.7709923664122137,,0.03896103896103896,0.8181818181818182,,0.04929577464788732,0.9130434782608695,,0.058823529411764705,0.8473282442748091,,0.15584415584415584,0.9090909090909091,,0.02112676056338028,0.8260869565217391,,0.058823529411764705,0.8702290076335878,,1.0,1.0,,0.02112676056338028,0.8181818181818182,,0.06060606060606061,0.9541984732824428,,,,,0.014084507042253521,0.8181818181818182,,0.06060606060606061,0.9618320610687023,,0.27450980392156865,0.9090909090909091,,,,,0.06060606060606061,0.8396946564885496,,0.019736842105263157,0.8181818181818182,,0.028368794326241134,0.8181818181818182,,0.09090909090909091,0.9,,0.013157894736842105,0.8,,0.02142857142857143,0.7727272727272727,,0.0625,0.8461538461538461,,0.09210526315789473,0.9,,0.14285714285714285,0.9545454545454546,,0.0625,0.7846153846153846,,,,,1.0,1.0,,0.0625,0.9846153846153847,
6,0.045454545454545456,0.45454545454545453,,0.028169014084507043,0.5217391304347826,,0.058823529411764705,0.7786259541984732,,0.03896103896103896,0.9090909090909091,,0.04929577464788732,0.9565217391304348,,0.058823529411764705,0.8778625954198473,,0.15584415584415584,1.0,,0.02112676056338028,0.9130434782608695,,0.058823529411764705,0.9312977099236641,,,,,0.02112676056338028,0.9545454545454546,,0.06060606060606061,0.9694656488549618,,,,,0.014084507042253521,0.9545454545454546,,0.06060606060606061,0.9770992366412213,,0.27450980392156865,1.0,,,,,0.06060606060606061,1.0,,0.019736842105263157,0.9090909090909091,,0.028368794326241134,0.8636363636363636,,0.09090909090909091,0.9153846153846154,,0.013157894736842105,0.9,,0.02142857142857143,0.8181818181818182,,0.0625,0.8769230769230769,,0.09210526315789473,1.0,,0.14285714285714285,1.0,,0.0625,0.8923076923076924,,,,,,,,0.0625,1.0,
7,0.13636363636363635,0.45454545454545453,,0.035211267605633804,0.5217391304347826,,0.08823529411764706,0.7786259541984732,,0.07142857142857142,0.9090909090909091,,0.07746478873239436,0.9565217391304348,,0.08823529411764706,0.8778625954198473,,1.0,1.0,,0.035211267605633804,0.9130434782608695,,0.08823529411764706,0.9312977099236641,,,,,0.028169014084507043,0.9545454545454546,,0.09090909090909091,0.9694656488549618,,,,,0.02112676056338028,0.9545454545454546,,0.12121212121212122,0.9770992366412213,,1.0,1.0,,,,,1.0,1.0,,0.046052631578947366,0.9090909090909091,,0.03546099290780142,0.8636363636363636,,0.12121212121212122,0.9153846153846154,,0.019736842105263157,0.9,,0.03571428571428571,0.8181818181818182,,0.09375,0.8769230769230769,,1.0,1.0,,1.0,1.0,,0.09375,0.8923076923076924,,,,,,,,1.0,1.0,
8,0.13636363636363635,0.5454545454545454,,0.035211267605633804,0.8260869565217391,,0.08823529411764706,0.7862595419847328,,0.07142857142857142,1.0,,0.07746478873239436,1.0,,0.08823529411764706,0.9083969465648855,,,,,0.035211267605633804,0.9565217391304348,,0.08823529411764706,0.9465648854961832,,,,,0.028169014084507043,1.0,,0.09090909090909091,0.9770992366412213,,,,,0.02112676056338028,1.0,,0.12121212121212122,0.9847328244274809,,,,,,,,,,,0.046052631578947366,1.0,,0.03546099290780142,0.9090909090909091,,0.12121212121212122,0.9461538461538461,,0.019736842105263157,1.0,,0.03571428571428571,0.8636363636363636,,0.09375,0.9307692307692308,,,,,,,,0.09375,0.9769230769230769,,,,,,,,,,
9,0.16233766233766234,0.5454545454545454,,0.04225352112676056,0.8260869565217391,,0.17647058823529413,0.7862595419847328,,1.0,1.0,,1.0,1.0,,0.11764705882352941,0.9083969465648855,,,,,0.04225352112676056,0.9565217391304348,,0.11764705882352941,0.9465648854961832,,,,,1.0,1.0,,0.18181818181818182,0.9770992366412213,,,,,1.0,1.0,,0.15151515151515152,0.9847328244274809,,,,,,,,,,,1.0,1.0,,0.0425531914893617,0.9090909090909091,,0.18181818181818182,0.9461538461538461,,1.0,1.0,,0.05714285714285714,0.8636363636363636,,0.125,0.9307692307692308,,,,,,,,0.125,0.9769230769230769,,,,,,,,,,
