,correctly_classified,incorrectly_classified
0,134,440
1,151,508
2,471,756
3,519,952
4,529,1044
5,618,1075
6,630,1295
7,707,1317
8,765,1420
9,798,1572
10,857,1913
11,1054,2035
12,1210,2124
13,1272,2159
14,1419,2171
15,1467,2223
16,1490,2282
17,2013,2290
18,2072,2314
19,2078,2454
