,correctly_classified,incorrectly_classified
0,29,736
1,73,792
2,178,903
3,207,906
4,220,949
5,485,1885
6,497,2140
7,518,2166
8,841,2176
9,1110,2194
10,1137,2252
11,1272,2272
12,1292,2290
13,1514,2349
14,1577,2377
15,1615,2379
16,1701,2383
17,1708,2401
18,1917,2421
19,1922,2435
