,f1-score,precision,recall,support
cmml,0.9195837275307474,0.9239543726235742,0.9152542372881356,531.0
et,0.956989247311828,0.9368421052631579,0.978021978021978,91.0
mds,0.9695012558306423,0.9677650429799427,0.9712437095614666,1391.0
pmf,0.9716981132075471,0.9809523809523809,0.9626168224299065,107.0
pv,0.9753086419753086,0.9875,0.9634146341463414,82.0
accuracy,0.9573115349682108,0.9573115349682108,0.9573115349682108,0.9573115349682108
macro avg,0.9586161971712146,0.9594027803638111,0.9581102762895656,2202.0
weighted avg,0.9572698612351543,0.9572981303310946,0.9573115349682108,2202.0
